,Feature Dataset Name,Feature Class Name
0,GISDB.GIS.Administrative,GISDB.GIS.Urban_Areas_NationalAtlas
1,,GISDB.GIS.Block_Groups_Census2K
2,,gisdb.GIS.ALDOT_Divisions_2011
3,,GISDB.GIS.Cities_Census2K_UTM84
4,,GISDB.GIS.ALSenate03
5,,GISDB.GIS.Cities_Census2K_PoliceChiefs
6,,GISDB.GIS.Parks
7,,gisdb.GIS.ALSenate10
8,,GISDB.GIS.Cities
9,,GISDB.GIS.ALSenate08
10,,GISDB.GIS.Seat_County_USGS_GeoNames
11,,GISDB.GIS.AARC_Area
12,,gisdb.GIS.HouseDistricts17
13,,gisdb.GIS.County
14,,gisdb.GIS.City_Census10
15,,GISDB.GIS.County_UTM84_Line
16,,GISDB.GIS.Federal_Lands_2001
17,,GISDB.GIS.Natl_Cnty_Bndrs_SE_States
18,,GISDB.GIS.State_Census2K
19,,GISDB.GIS.CongressionalDistricts
20,,GISDB.GIS.State
21,,gisdb.GIS.Congr_Dist_Census10
22,,GISDB.GIS.Zip_Codes_Census2K
23,,GISDB.GIS.Natl_State_Boundaries_SE
24,,GISDB.GIS.Blocks_Census2K
25,,gisdb.GIS.Cnty_Subdiv_Census10
26,,GISDB.GIS.UrbanAreaCensus
27,,gisdb.GIS.ALSenate17
28,,GISDB.GIS.Trooper_Posts_DPS
29,,GISDB.GIS.ALDOT_Divisions_outline
30,,gisdb.GIS.Landmark_Census10
31,,GISDB.GIS.SE_Region_State_Boundaries
32,,GISDB.GIS.ALDOT_Divisions
33,,GISDB.GIS.ALHouse03
34,,GISDB.GIS.Cities_MayorData
35,,gisdb.GIS.Tract_Census10
36,,GISDB.GIS.Intelligence_Areas_County
37,,gisdb.GIS.Block_Group_Census10
38,,GISDB.GIS.AARC_By_County
39,,GISDB.GIS.PopPlace_USGS_GeoNames
40,,gisdb.GIS.ALDOT_Divisions_2k11
41,,gisdb.GIS.Divisions_outline_2010
42,,GISDB.GIS.Tracts_Census2K
43,,GISDB.GIS.County_Census2K
44,,gisdb.GIS.DRAFT_ALDOT_Region_Division_District_2013
45,,gisdb.GIS.ALDOT_Divisions_2011_outline
46,,gisdb.GIS.State_Census10
47,,gisdb.GIS.ALDOT_Districts_2011
48,,GISDB.GIS.EMA_County_Coordinators
49,,GISDB.GIS.UrbanAreaMpo
50,,GISDB.GIS.MilitaryFacilities
51,,GISDB.GIS.ALHouse08
52,,gisdb.GIS.County_Census10
53,,GISDB.GIS.Marine_Police_Docks
54,,GISDB.GIS.ALDHS_Regions
55,,
56,GISDB.GIS.Cultural,GISDB.GIS.Nuclear_Facility_HAZUS
57,,GISDB.GIS.Schools_USGS_GeoNames
58,,GISDB.GIS.Oil_Facility_HAZUS
59,,GISDB.GIS.Recreation_Areas_ESRI
60,,GISDB.GIS.Trails_USGS_GeoNames
61,,GISDB.GIS.Summits_USGS_GeoNames
62,,GISDB.GIS.Churches_USGS_GeoNames
63,,GISDB.GIS.Natural_Gas_Facility_HAZUS
64,,GISDB.GIS.Cemetaries_USGS_GeoNames
65,,GISDB.GIS.Parks_USGS_GeoNames
66,,GISDB.GIS.Locales_USGS_GeoNames
67,,GISDB.GIS.Fire_Station_HAZUS
68,,GISDB.GIS.Communications_Facility_HAZUS
69,,GISDB.GIS.Emergency_Ctr_HAZUS
70,,GISDB.GIS.School_HAZUS
71,,GISDB.GIS.Hazardous_Materials_HAZUS
72,,GISDB.GIS.Health_Care_Facility_HAZUS
73,,GISDB.GIS.Electric_Power_Facility_HAZUS
74,,GISDB.GIS.SchoolDistricts_Census2K
75,,GISDB.GIS.AL_State_Parks
76,,GISDB.GIS.Hospitals_USGS_GeoNames
77,,GISDB.GIS.Towers_USGS_GeoNames
78,,GISDB.GIS.Valleys_USGS_GeoNames
79,,GISDB.GIS.Police_Station_HAZUS
80,,
81,GISDB.GIS.Environmental,GISDB.GIS.ADEM_Ecoregion_Ref_Stations_08
82,,GISDB.GIS.ADEM_SW_Quality_Trend_Sta_08
83,,GISDB.GIS.County_Endangered_Species_PFMT
84,,
85,gisdb.GIS.FCC,gisdb.GIS.AL_FM_FCC_20100808
